DateTime,Station,Energy Production (kWh),Energy Production (W),Water Flow (m³/s)
2022-06-30,Amberd 3,27138.86,97699896000.0,36688.947058018355
2022-07-01,Amberd 3,25675.300000000003,92431080000.00002,34710.36448836609
2022-07-02,Amberd 3,30057.300000000003,108206280000.00002,40634.37773019852
2022-07-03,Amberd 3,22381.1,80571960000.0,30256.944949058827
2022-07-04,Amberd 3,19934.46,71764056000.0,26949.339344769258
2022-07-05,Amberd 3,20181.0,72651600000.0,27282.636064221875
2022-07-06,Amberd 3,18693.5,67296600000.0,25271.689077178118
2022-07-07,Amberd 3,18402.3,66248280000.0,24878.016631714494
2022-07-08,Amberd 3,18334.4,66003840000.0,24786.222816305908
2022-07-09,Amberd 3,18910.36,68077296000.0,25564.86148968925
2022-07-10,Amberd 3,17597.3,63350280000.0,23789.73943872611
2022-07-11,Amberd 3,16816.8,60540480000.0,22734.583725524324
2022-07-12,Amberd 3,16398.2,59033520000.0,22168.679585170365
2022-07-13,Amberd 3,15638.7,56299320000.0,21141.91371178567
2022-07-14,Amberd 3,15061.76,54222336000.0,20361.950179210864
2022-07-15,Amberd 3,15045.1,54162360000.0,20339.427572955974
2022-07-16,Amberd 3,14371.7,51738120000.0,19429.06004282134
2022-07-17,Amberd 3,14791.0,53247600000.0,19995.910511169204
2022-07-18,Amberd 3,14716.1,52977960000.0,19894.65341582159
2022-07-19,Amberd 3,13196.4,47507040000.0,17840.1753410583
2022-07-20,Amberd 3,12570.6,45254160000.0,16994.158114509068
2022-07-21,Amberd 3,12399.1,44636760000.0,16762.307756002847
2022-07-22,Amberd 3,13743.8,49477680000.0,18580.2038322904
2022-07-23,Amberd 3,13684.3,49263480000.0,18499.76595280865
2022-07-24,Amberd 3,12893.3,46415880000.0,17430.415319698324
2022-07-25,Amberd 3,11806.9,42504840000.0,15961.714273160955
2022-07-26,Amberd 3,11053.7,39793320000.0,14943.465351721388
2022-07-27,Amberd 3,10773.7,38785320000.0,14564.93415416021
2022-07-28,Amberd 3,12125.4,43651440000.0,16392.293510386793
2022-07-29,Amberd 3,11404.68,41056848000.0,15417.954207864324
2022-07-30,Amberd 3,10525.2,37890720000.0,14228.987716324666
2022-07-31,Amberd 3,10490.06,37764216000.0,14181.482051030736
2022-08-01,Amberd 3,10594.5,38140200000.0,14322.674187721057
2022-08-02,Amberd 3,10146.5,36527400000.0,13717.024271623171
2022-08-03,Amberd 3,12198.48,43914528000.0,16491.090152950263
2022-08-04,Amberd 3,13894.58,50020488000.0,18784.042882177095
2022-08-05,Amberd 3,13539.54,48742344000.0,18304.06532366952
2022-08-06,Amberd 3,13342.28,48032208000.0,18037.390094987673
2022-08-07,Amberd 3,13386.24,48190464000.0,18096.819493004776
2022-08-08,Amberd 3,17190.88,61887168000.0,23240.30140546606
2022-08-09,Amberd 3,14718.76,52987536000.0,19898.249462198422
2022-08-10,Amberd 3,12591.88,45330768000.0,17022.926485523716
2022-08-11,Amberd 3,12248.46,44094456000.0,16558.657971714933
2022-08-12,Amberd 3,12074.3,43467480000.0,16323.21156683188
2022-08-13,Amberd 3,11581.92,41694912000.0,15657.564455920548
2022-08-14,Amberd 3,10872.82,39142152000.0,14698.934198096867
2022-08-15,Amberd 3,10677.8,38440080000.0,14435.287218995507
2022-08-16,Amberd 3,10354.96,37277856000.0,13998.840748207469
2022-08-17,Amberd 3,10046.68,36168048000.0,13582.077899692613
2022-08-18,Amberd 3,9930.2,35748720000.0,13424.608921507162
2022-08-19,Amberd 3,9582.02,34495272000.0,12953.90537733984
2022-08-20,Amberd 3,9637.88,34696368000.0,13029.422351253294
2022-08-21,Amberd 3,9411.92,33882912000.0,12723.947674821422
2022-08-22,Amberd 3,9914.8,35693280000.0,13403.789705641298
2022-08-23,Amberd 3,9755.62,35120232000.0,13188.594719827768
2022-08-24,Amberd 3,10864.7,39112920000.0,14687.956793367593
2022-08-25,Amberd 3,10252.62,36909432000.0,13860.487595498858
2022-08-26,Amberd 3,10706.36,38542896000.0,14473.897401146747
2022-08-27,Amberd 3,10841.32,39028752000.0,14656.349438371235
2022-08-28,Amberd 3,10713.92,38570112000.0,14484.117743480898
2022-08-29,Amberd 3,10572.38,38060568000.0,14292.770223113723
2022-08-30,Amberd 3,10226.72,36816192000.0,13825.47345972445
2022-08-31,Amberd 3,10950.94,39423384000.0,14804.544402216436
2022-09-01,Amberd 3,9901.08,35643888000.0,13385.2416769608
2022-09-02,Amberd 3,10032.12,36115632000.0,13562.394277419431
2022-09-03,Amberd 3,9444.12,33998832000.0,12767.478762540959
2022-09-04,Amberd 3,9777.6,35199360000.0,13218.309418836321
2022-09-05,Amberd 3,9702.56,34929216000.0,13116.863057889925
2022-09-06,Amberd 3,10709.02,38552472000.0,14477.493447523579
2022-09-07,Amberd 3,15564.64,56032704000.0,21041.79221003074
2022-09-08,Amberd 3,10307.64,37107504000.0,13934.86897581963
2022-09-09,Amberd 3,9165.38,32995368000.0,12390.650955368807
2022-09-10,Amberd 3,9142.0,32911200000.0,12359.043600372448
2022-09-11,Amberd 3,9106.44,32783184000.0,12310.970138282179
2022-09-12,Amberd 3,8701.42,31325112000.0,11763.424761009936
2022-09-13,Amberd 3,8329.44,29985984000.000004,11260.546065049912
2022-09-14,Amberd 3,8738.1,31457160000.0,11813.01234789045
2022-09-15,Amberd 3,9128.0,32860800000.0,12340.11704049439
2022-09-16,Amberd 3,9105.6,32780160000.0,12309.834544689495
2022-09-17,Amberd 3,9037.7,32535720000.0,12218.040729280909
2022-09-18,Amberd 3,9882.6,35577360000.0,13360.258617921761
2022-09-19,Amberd 3,9605.96,34581456000.0,12986.269794731319
2022-09-20,Amberd 3,9463.3,34067880000.0,12793.4081495739
2022-09-21,Amberd 3,9601.62,34565832000.0,12980.402561169121
2022-09-22,Amberd 3,14658.28,52769808000.0,19816.486723525206
2022-09-23,Amberd 3,15583.82,56101752000.0,21067.72159706368
2022-09-24,Amberd 3,11323.76,40765536000.0,15308.558691769143
2022-09-25,Amberd 3,9906.12,35662032000.0,13392.055238516901
2022-09-26,Amberd 3,9700.88,34923168000.0,13114.591870704558
2022-09-27,Amberd 3,9751.42,35105112000.0,13182.91675186435
2022-09-28,Amberd 3,10075.52,36271872000.0,13621.066613041414
2022-09-29,Amberd 3,10059.98,36215928000.0,13600.058131576769
2022-09-30,Amberd 3,9969.68,35890848000.0,13477.98182036329
2022-10-01,Amberd 3,9978.08,35921088000.0,13489.337756290124
2022-10-02,Amberd 3,10010.98,36039528000.0,13533.815172003562
2022-10-03,Amberd 3,9940.56,35786016000.0,13438.614575816926
2022-10-04,Amberd 3,9667.7,34803720000.0,13069.735923793558
2022-10-05,Amberd 3,9526.86,34296696000.0,12879.334731420286
2022-10-06,Amberd 3,8570.66,30854376000.0,11586.650691748864
2022-10-07,Amberd 3,11558.26,41609736000.0,15625.57856972663
2022-10-08,Amberd 3,10855.46,39079656000.0,14675.465263848073
