DateTime,Station,Energy Production (kWh)
2022-12-19,Amberd 3,94.87750290383337
2022-12-20,Amberd 3,413.20428044033724
2022-12-21,Amberd 3,488.5211932969378
2022-12-22,Amberd 3,-362.7482898305316
2022-12-23,Amberd 3,-1086.216879496551
2022-12-24,Amberd 3,1330.518717162946
2022-12-25,Amberd 3,322.33889063704373
2022-12-26,Amberd 3,-1263.1379219327882
2022-12-27,Amberd 3,-724.5246231173714
2022-12-28,Amberd 3,185.76530619286314
2022-12-29,Amberd 3,1024.535072276134
2022-12-30,Amberd 3,-699.3170325700667
2022-12-31,Amberd 3,59.079487145876556
2023-01-01,Amberd 3,-200.0007656666785
2023-01-02,Amberd 3,93.53223442084163
2023-01-03,Amberd 3,872.6985702661495
2023-01-04,Amberd 3,-62.857473677819144
2023-01-05,Amberd 3,-412.4213993175563
2023-01-06,Amberd 3,-68.54531819851036
2023-01-07,Amberd 3,80.42476493141476
2023-01-08,Amberd 3,-95.18972176194075
2023-01-09,Amberd 3,326.8448148774405
2023-01-10,Amberd 3,7.121796420271494
2023-01-11,Amberd 3,-107.26277154769923
2023-01-12,Amberd 3,-40.33896220142742
2023-01-13,Amberd 3,123.14520432263271
2023-01-14,Amberd 3,-268.06397049114094
2023-01-15,Amberd 3,94.94320804848758
2023-01-16,Amberd 3,-42.55674204945535
2023-01-17,Amberd 3,-25.171587548546086
2023-01-18,Amberd 3,23.466963180348102
2023-01-19,Amberd 3,107.00580724774227
2023-01-20,Amberd 3,327.83204187694173
2023-01-21,Amberd 3,-247.38934313662867
2023-01-22,Amberd 3,15.780371950937479
2023-01-23,Amberd 3,-23.952363278909615
2023-01-24,Amberd 3,84.05771201627431
2023-01-25,Amberd 3,-109.70855817121083
2023-01-26,Amberd 3,-5.908214541013876
2023-01-27,Amberd 3,-57.01542737849377
2023-01-28,Amberd 3,-258.1170916595438
2023-01-29,Amberd 3,212.1439832620472
2023-01-30,Amberd 3,-244.42568717618997
2023-01-31,Amberd 3,-61.30056814253294
2023-02-01,Amberd 3,184.76974767455613
2023-02-02,Amberd 3,449.9643457700713
2023-02-03,Amberd 3,-362.7338378965578
2023-02-04,Amberd 3,-454.6714792180319
2023-02-05,Amberd 3,822.4590489856619
2023-02-06,Amberd 3,-2458.456164399431
2023-02-07,Amberd 3,-3974.8779265121157
2023-02-08,Amberd 3,3739.996657014568
2023-02-09,Amberd 3,1775.0687523812976
2023-02-10,Amberd 3,-134.97315702357264
2023-02-11,Amberd 3,-599.4579969042425
2023-02-12,Amberd 3,10.934705468940592
2023-02-13,Amberd 3,-428.315844344399
2023-02-14,Amberd 3,-1666.8250214445325
2023-02-15,Amberd 3,1121.9487250998882
2023-02-16,Amberd 3,130.9588349604819
2023-02-17,Amberd 3,-1159.4127807155564
2023-02-18,Amberd 3,672.7808663234555
2023-02-19,Amberd 3,219.15556578367614
2023-02-20,Amberd 3,302.0500885213569
2023-02-21,Amberd 3,-675.7354960423199
2023-02-22,Amberd 3,-896.8434992702587
2023-02-23,Amberd 3,1735.4464119073
2023-02-24,Amberd 3,291.50007125720003
2023-02-25,Amberd 3,-417.5243342495505
2023-02-26,Amberd 3,-45.83972628469928
2023-02-27,Amberd 3,-181.61636617706972
2023-02-28,Amberd 3,-225.60595347890012
2023-03-01,Amberd 3,-117.22110719746343
2023-03-02,Amberd 3,-166.25351245560887
2023-03-03,Amberd 3,358.6889263050507
2023-03-04,Amberd 3,-274.45080746384156
