Station,Datetime,Energy Production (kWh)
Amberd 3,2023-03-25,22906.66
Amberd 3,2023-03-26,27041.0
Amberd 3,2023-03-27,36305.5
Amberd 3,2023-03-28,32225.06
Amberd 3,2023-03-29,27312.600000000002
Amberd 3,2023-03-30,23423.4
Amberd 3,2023-03-31,19096.56
Amberd 3,2023-04-01,16988.3
Amberd 3,2023-04-02,14662.2
Amberd 3,2023-04-03,16027.060000000001
Amberd 3,2023-04-04,18726.4
Amberd 3,2023-04-05,36692.46
Amberd 3,2023-04-06,28753.620000000003
Amberd 3,2023-04-07,25998.0
Amberd 3,2023-04-08,23795.1
Amberd 3,2023-04-09,20577.2
Amberd 3,2023-04-10,23310.0
Amberd 3,2023-04-11,30808.54
Amberd 3,2023-04-12,64417.08
Amberd 3,2023-04-13,88760.42
Amberd 3,2023-04-14,60733.12
Amberd 3,2023-04-15,91522.34
Amberd 3,2023-04-16,100707.18000000001
Amberd 3,2023-04-17,73046.12000000001
Amberd 3,2023-04-18,31748.5
Amberd 3,2023-04-19,15005.2
Amberd 3,2023-04-20,10433.5
Amberd 3,2023-04-21,26836.600000000002
Amberd 3,2023-04-22,16752.4
Amberd 3,2023-04-23,9481.5
Amberd 3,2023-04-24,15810.900000000001
Amberd 3,2023-04-25,14858.900000000001
Amberd 3,2023-04-26,17796.8
Amberd 3,2023-04-27,18240.6
Amberd 3,2023-04-28,66054.1
Amberd 3,2023-04-29,74836.3
Amberd 3,2023-04-30,84772.8
Amberd 3,2023-05-01,79792.16
Amberd 3,2023-05-02,52828.020000000004
Amberd 3,2023-05-03,69675.76
Amberd 3,2023-05-04,114461.48
Amberd 3,2023-05-05,105910.42
Amberd 3,2023-05-06,94849.44
Amberd 3,2023-05-07,88222.54000000001
Amberd 3,2023-05-08,62799.100000000006
Amberd 3,2023-05-09,65641.52
Amberd 3,2023-05-10,75013.12
Amberd 3,2023-05-11,84568.26
Amberd 3,2023-05-12,93392.46
Amberd 3,2023-05-13,101055.5
Amberd 3,2023-05-14,102304.02
Amberd 3,2023-05-15,78620.92
Amberd 3,2023-05-16,60283.72
Amberd 3,2023-05-17,61518.94
Amberd 3,2023-05-18,76991.88
Amberd 3,2023-05-19,127832.32
Amberd 3,2023-05-20,188810.02
Amberd 3,2023-05-21,205087.54
Amberd 3,2023-05-22,164263.4
Amberd 3,2023-05-23,187164.6
Amberd 3,2023-05-24,200884.88
Amberd 3,2023-05-25,236421.5
Amberd 3,2023-05-26,242381.86000000002
Amberd 3,2023-05-27,228573.66
Amberd 3,2023-05-28,185113.6
Amberd 3,2023-05-29,234426.78
Amberd 3,2023-05-30,245421.82
Amberd 3,2023-05-31,237879.46000000002
Amberd 3,2023-06-01,242880.96
Amberd 3,2023-06-02,246638.41999999998
Amberd 3,2023-06-03,246882.58000000002
Amberd 3,2023-06-04,250255.88
Amberd 3,2023-06-05,247571.1
Amberd 3,2023-06-06,245032.06
Amberd 3,2023-06-07,245689.64
Amberd 3,2023-06-08,245673.12
Amberd 3,2023-06-09,249351.48
Amberd 3,2023-06-10,242758.88
Amberd 3,2023-06-11,233640.4
Amberd 3,2023-06-12,220708.04
Amberd 3,2023-06-13,218452.22
Amberd 3,2023-06-14,219929.08000000002
Amberd 3,2023-06-15,172555.18
Amberd 3,2023-06-16,160296.5
Amberd 3,2023-06-17,180799.64
Amberd 3,2023-06-18,190480.36000000002
Amberd 3,2023-06-19,164287.62
Amberd 3,2023-06-20,162459.92
Amberd 3,2023-06-21,109030.32
Amberd 3,2023-06-22,131094.88
Amberd 3,2023-06-23,153321.98
Amberd 3,2023-06-24,85659.14
Amberd 3,2023-06-25,69407.1
Amberd 3,2023-06-26,70484.4
Amberd 3,2023-06-27,84023.8
Amberd 3,2023-06-28,76516.86
Amberd 3,2023-06-29,81444.02
Amberd 3,2023-06-30,80589.6
Amberd 3,2023-07-01,74759.3
Amberd 3,2023-07-02,53924.92
Amberd 3,2023-07-03,48662.740000000005
Amberd 3,2023-07-04,50060.36
Amberd 3,2023-07-05,65541.0
Amberd 3,2023-07-06,47593.84
Amberd 3,2023-07-07,48383.58
Amberd 3,2023-07-08,50463.560000000005
Amberd 3,2023-07-09,45025.4
Amberd 3,2023-07-10,37678.9
Amberd 3,2023-07-11,39584.58
Amberd 3,2023-07-12,29109.5
Amberd 3,2023-07-13,24831.1
Amberd 3,2023-07-14,22674.4
Amberd 3,2023-07-15,20746.600000000002
Amberd 3,2023-07-16,19828.9
Amberd 3,2023-07-17,18209.100000000002
Amberd 3,2023-07-18,17822.0
Amberd 3,2023-07-19,17256.4
Amberd 3,2023-07-20,16173.5
Amberd 3,2023-07-21,15451.1
Amberd 3,2023-07-22,15452.5
Amberd 3,2023-07-23,14571.9
Amberd 3,2023-07-24,13587.0
Amberd 3,2023-07-25,18749.5
Amberd 3,2023-07-26,18425.4
Amberd 3,2023-07-27,13659.800000000001
Amberd 3,2023-07-28,13868.4
Amberd 3,2023-07-29,13515.6
Amberd 3,2023-07-30,11896.64
Amberd 3,2023-07-31,10168.06
Amberd 3,2023-08-01,14593.6
Amberd 3,2023-08-02,13064.1
Amberd 3,2023-08-03,10640.7
Amberd 3,2023-08-04,11813.2
Amberd 3,2023-08-05,17168.9
Amberd 3,2023-08-06,12447.4
Amberd 3,2023-08-07,11326.56
Amberd 3,2023-08-08,10523.8
Amberd 3,2023-08-09,10126.62
Amberd 3,2023-08-10,9599.1
Amberd 3,2023-08-11,9057.16
Amberd 3,2023-08-12,8367.800000000001
Amberd 3,2023-08-13,8253.0
Amberd 3,2023-08-14,8169.700000000001
Amberd 3,2023-08-15,9933.7
Amberd 3,2023-08-16,9999.5
Amberd 3,2023-08-17,9785.720000000001
Amberd 3,2023-08-18,9821.0
Amberd 3,2023-08-19,9742.6
Amberd 3,2023-08-20,9774.800000000001
Amberd 3,2023-08-21,11248.720000000001
Amberd 3,2023-08-22,7974.26
Amberd 3,2023-08-23,9785.16
Amberd 3,2023-08-24,10255.0
Amberd 3,2023-08-25,10303.02
Amberd 3,2023-08-26,10144.82
Amberd 3,2023-08-27,9822.82
Amberd 3,2023-08-28,9265.62
Amberd 3,2023-08-29,16713.62
Amberd 3,2023-08-30,12782.7
Amberd 3,2023-08-31,10731.560000000001
Amberd 3,2023-09-01,9879.66
Amberd 3,2023-09-02,9544.36
Amberd 3,2023-09-03,9510.2
Amberd 3,2023-09-04,8831.06
Amberd 3,2023-09-05,8803.2
Amberd 3,2023-09-06,8820.7
Amberd 3,2023-09-07,8593.9
Amberd 3,2023-09-08,7524.16
Amberd 3,2023-09-09,16735.32
Amberd 3,2023-09-10,12177.9
Amberd 3,2023-09-11,10439.800000000001
Amberd 3,2023-09-12,13191.5
Amberd 3,2023-09-13,12945.1
Amberd 3,2023-09-14,12674.9
Amberd 3,2023-09-15,12639.06
Amberd 3,2023-09-16,12180.7
Amberd 3,2023-09-17,11042.5
Amberd 3,2023-09-18,11354.0
Amberd 3,2023-09-19,11234.3
Amberd 3,2023-09-20,11235.7
Amberd 3,2023-09-21,11786.460000000001
Amberd 3,2023-09-22,10911.460000000001
Amberd 3,2023-09-23,10666.6
Amberd 3,2023-09-24,10920.7
Amberd 3,2023-09-25,12968.9
Amberd 3,2023-09-26,15836.66
Amberd 3,2023-09-27,13336.26
Amberd 3,2023-09-28,12321.26
Amberd 3,2023-09-29,12889.1
Amberd 3,2023-09-30,13492.5
Amberd 3,2023-10-01,12045.6
Amberd 3,2023-10-02,24894.52
Amberd 3,2023-10-03,18100.600000000002
Amberd 3,2023-10-04,18700.5
Amberd 3,2023-10-05,16293.2
Amberd 3,2023-10-06,15053.5
Amberd 3,2023-10-07,14050.4
Amberd 3,2023-10-08,13950.16
Amberd 3,2023-10-09,13936.300000000001
Amberd 3,2023-10-10,13694.66
Amberd 3,2023-10-11,13614.300000000001
Amberd 3,2023-10-12,11560.5
Amberd 3,2023-10-13,12888.400000000001
Amberd 3,2023-10-14,12318.6
