DateTime,Station,Energy Production (kWh)
2023-03-01,Amberd 3,-346.13623850647855
2023-03-02,Amberd 3,-580.2657711360607
2023-03-03,Amberd 3,17.69988249742528
2023-03-04,Amberd 3,-75.89087536548686
2023-03-05,Amberd 3,-115.86070491082137
2023-03-06,Amberd 3,-3363.0848345275153
2023-03-07,Amberd 3,588.7139203360712
2023-03-08,Amberd 3,176.5946722531571
2023-03-09,Amberd 3,52.88858759673349
2023-03-10,Amberd 3,-1639.903538930359
2023-03-11,Amberd 3,-1606.3339679925266
2023-03-12,Amberd 3,-1489.410020542342
2023-03-13,Amberd 3,-934.3150588024018
2023-03-14,Amberd 3,1701.7184362675325
2023-03-15,Amberd 3,7519.261930619472
2023-03-16,Amberd 3,7475.383316182735
2023-03-17,Amberd 3,2171.3909461800285
2023-03-18,Amberd 3,1691.4410592614295
2023-03-19,Amberd 3,340.8927747356465
2023-03-20,Amberd 3,-1150.7919387506408
2023-03-21,Amberd 3,-4191.6041705349635
2023-03-22,Amberd 3,-4397.855764993132
2023-03-23,Amberd 3,-4522.678813894363
2023-03-24,Amberd 3,-3683.456749154753
2023-03-25,Amberd 3,809.7136715683009
2023-03-26,Amberd 3,4378.697851085624
2023-03-27,Amberd 3,13055.315121163309
2023-03-28,Amberd 3,8364.868127410526
2023-03-29,Amberd 3,2812.5199434856986
2023-03-30,Amberd 3,-1759.4343995323834
2023-03-31,Amberd 3,-6826.637695529618
2023-04-01,Amberd 3,-9746.513091892186
2023-04-02,Amberd 3,-12964.85708744657
2023-04-03,Amberd 3,-12576.15461033682
2023-04-04,Amberd 3,-10932.067553027333
2023-04-05,Amberd 3,5912.322288648931
2023-04-06,Amberd 3,-3195.094338920324
2023-04-07,Amberd 3,-7150.381890777833
2023-04-08,Amberd 3,-10566.22788800449
2023-04-09,Amberd 3,-14988.070862999473
2023-04-10,Amberd 3,-13421.32545573196
2023-04-11,Amberd 3,-7012.698761881729
2023-04-12,Amberd 3,25628.710451281266
2023-04-13,Amberd 3,49178.72635321324
2023-04-14,Amberd 3,20566.91516933839
2023-04-15,Amberd 3,50984.70642111011
2023-04-16,Amberd 3,60002.61530800102
