Date,Station,Energy Production (kWh),Water_Flow_m3_s
2024-11-29,Amberd1,-1211.828791050113,15157.43119266055
2024-11-29,Amberd1,-1211.828791050113,282719.03207602224
2024-11-30,Amberd1,28.064617041274687,22249.11746465211
2024-11-30,Amberd1,28.064617041274687,19305.688073394496
2024-11-30,Amberd1,28.064617041274687,282786.1583376867
2024-12-01,Amberd1,10.467279099108964,20860.854297596496
2024-12-01,Amberd1,10.467279099108964,18712.660550458717
2024-12-01,Amberd1,10.467279099108964,282857.5914067919
2024-12-02,Amberd1,59.33564490687786,21572.49294901151
2024-12-02,Amberd1,59.33564490687786,18750.825688073393
2024-12-02,Amberd1,59.33564490687786,282930.4501545358
2024-12-03,Amberd1,-176.0082378938132,20629.95026708418
2024-12-03,Amberd1,-176.0082378938132,17682.201834862386
2024-12-03,Amberd1,-176.0082378938132,282999.8175271115
2024-12-04,Amberd1,-85.8867575500908,19725.26070491296
2024-12-04,Amberd1,-85.8867575500908,17462.018348623853
2024-12-04,Amberd1,-85.8867575500908,283066.8251219951
2024-12-05,Amberd1,182.47349855940135,20717.95877051715
2024-12-05,Amberd1,182.47349855940135,18416.146788990827
2024-12-05,Amberd1,182.47349855940135,283136.3353419794
2024-12-06,Amberd1,-49.524243637722975,19883.29747989475
2024-12-06,Amberd1,-49.524243637722975,17782.018348623853
2024-12-06,Amberd1,-49.524243637722975,283205.90552433
2024-12-07,Amberd1,-190.99069526182484,19553.029010022627
2024-12-07,Amberd1,-190.99069526182484,17312.293577981654
2024-12-07,Amberd1,-190.99069526182484,283272.5081985259
2024-12-08,Amberd1,20.157226360481214,19962.789031382603
2024-12-08,Amberd1,20.157226360481214,17770.275229357798
2024-12-08,Amberd1,20.157226360481214,283340.1166750239
2024-12-09,Amberd1,38.29066079785207,20187.0687659376
2024-12-09,Amberd1,38.29066079785207,18016.880733944956
2024-12-09,Amberd1,38.29066079785207,283408.688742555
2024-12-10,Amberd1,-76.02395800524027,19269.130611851742
2024-12-10,Amberd1,-76.02395800524027,17723.302752293577
2024-12-10,Amberd1,-76.02395800524027,283476.63462966424
2024-12-11,Amberd1,21.30066649869059,19156.517580577292
2024-12-11,Amberd1,21.30066649869059,17902.38532110092
2024-12-11,Amberd1,21.30066649869059,283544.6938722026
2024-12-12,Amberd1,7.718702311587549,19679.836961205623
2024-12-12,Amberd1,7.718702311587549,18195.963302752298
2024-12-12,Amberd1,7.718702311587549,283613.4592449844
2024-12-13,Amberd1,-743.1850534033038,17871.404164857096
2024-12-13,Amberd1,-743.1850534033038,15994.128440366972
2024-12-13,Amberd1,-743.1850534033038,283677.0267611761
2024-12-14,Amberd1,-4189.592556974491,4486.541019093858
2024-12-14,Amberd1,-4189.592556974491,4201.100917431193
2024-12-14,Amberd1,-4189.592556974491,283721.26780569536
2024-12-15,Amberd1,-20.368816568626244,22989.14595588422
2024-12-15,Amberd1,-20.368816568626244,18653.94495412844
2024-12-15,Amberd1,-20.368816568626244,283756.59654168104
2024-12-16,Amberd1,1752.087649526523,27462.438383063432
2024-12-16,Amberd1,1752.087649526523,25045.1376146789
2024-12-16,Amberd1,1752.087649526523,283844.7517030395
2024-12-17,Amberd1,752.6889999942778,23673.151829877264
2024-12-17,Amberd1,752.6889999942778,21542.75229357798
2024-12-17,Amberd1,752.6889999942778,283930.9880686772
2024-12-18,Amberd1,319.52671106594244,21441.899685852903
2024-12-18,Amberd1,319.52671106594244,19634.495412844037
2024-12-18,Amberd1,319.52671106594244,284008.188986283
2024-12-19,Amberd1,-147.68832112988366,20054.58284679119
2024-12-19,Amberd1,-147.68832112988366,18122.56880733945
2024-12-19,Amberd1,-147.68832112988366,284074.55684282066
2024-12-20,Amberd1,17.656820745362893,21037.817632456343
2024-12-20,Amberd1,17.656820745362893,18727.339449541287
2024-12-20,Amberd1,17.656820745362893,284147.66019229207
2024-12-21,Amberd1,-135.8283229271501,20809.752585925737
2024-12-21,Amberd1,-135.8283229271501,18031.55963302752
2024-12-21,Amberd1,-135.8283229271501,284216.39663218363
2024-12-22,Amberd1,-67.53024893299153,20063.099798736315
2024-12-22,Amberd1,-67.53024893299153,17884.770642201835
2024-12-22,Amberd1,-67.53024893299153,284285.953955472
2024-12-23,Amberd1,-14.94802780912778,20170.034862047345
2024-12-23,Amberd1,-14.94802780912778,18166.60550458715
2024-12-23,Amberd1,-14.94802780912778,284356.0010413045
2024-12-24,Amberd1,62.54782723930475,20392.98973741088
2024-12-24,Amberd1,62.54782723930475,18395.59633027523
2024-12-24,Amberd1,62.54782723930475,284426.66019054473
2024-12-25,Amberd1,78.46016071505619,20263.1535366474
2024-12-25,Amberd1,78.46016071505619,18154.8623853211
2024-12-25,Amberd1,78.46016071505619,284497.09542437526
2024-12-26,Amberd1,-40.48606061871578,20015.783399041167
2024-12-26,Amberd1,-40.48606061871578,17949.357798165136
2024-12-26,Amberd1,-40.48606061871578,284566.63499656686
2024-12-27,Amberd1,-101.14407750682312,18525.31680864403
2024-12-27,Amberd1,-101.14407750682312,17961.10091743119
2024-12-27,Amberd1,-101.14407750682312,284635.2972173059
2024-12-28,Amberd1,119.64361511466814,20777.577434133036
2024-12-28,Amberd1,119.64361511466814,18677.43119266055
2024-12-28,Amberd1,119.64361511466814,284705.2524726614
2024-12-29,Amberd1,83.2896638435659,20215.458605754688
2024-12-29,Amberd1,83.2896638435659,18160.73394495413
2024-12-29,Amberd1,83.2896638435659,284776.4927956055
2024-12-30,Amberd1,-25.761550226890904,19793.396320473978
2024-12-30,Amberd1,-25.761550226890904,17814.311926605504
2024-12-30,Amberd1,-25.761550226890904,284846.13705733645
2024-12-31,Amberd1,-56.350732586998674,19883.29747989475
2024-12-31,Amberd1,-56.350732586998674,17541.284403669724
2024-12-31,Amberd1,-56.350732586998674,284914.98713220196
2025-01-01,Amberd1,53.99518844397517,19376.065675162776
2025-01-01,Amberd1,53.99518844397517,17432.660550458717
2025-01-01,Amberd1,53.99518844397517,284983.40223531035
2025-01-02,Amberd1,-14.132630142068592,19365.656067229844
2025-01-02,Amberd1,-14.132630142068592,17244.770642201835
2025-01-02,Amberd1,-14.132630142068592,285051.45267218654
2025-01-03,Amberd1,-53.994695859955755,19270.076939845647
2025-01-03,Amberd1,-53.994695859955755,17265.32110091743
2025-01-03,Amberd1,-53.994695859955755,285119.1771597896
2025-01-04,Amberd1,-25.62790972577386,19275.754907809063
2025-01-04,Amberd1,-25.62790972577386,17294.678899082573
2025-01-04,Amberd1,-25.62790972577386,285186.88892810285
2025-01-05,Amberd1,42.53303058649544,19425.27473084573
2025-01-05,Amberd1,42.53303058649544,17133.211009174312
2025-01-05,Amberd1,42.53303058649544,285254.45966604876
2025-01-06,Amberd1,38.62230529273347,19325.91029148592
2025-01-06,Amberd1,38.62230529273347,17171.376146788993
2025-01-06,Amberd1,38.62230529273347,285321.7154967425
2025-01-07,Amberd1,-50.94812952646862,18980.500573711342
2025-01-07,Amberd1,-50.94812952646862,16748.623853211007
2025-01-07,Amberd1,-50.94812952646862,285388.1136838942
2025-01-08,Amberd1,1.8448406428315136,18716.475063412425
2025-01-08,Amberd1,1.8448406428315136,16499.08256880734
2025-01-08,Amberd1,1.8448406428315136,285453.9667586253
2025-01-09,Amberd1,51.031501460229265,19186.800076382187
2025-01-09,Amberd1,51.031501460229265,16728.07339449541
