Date,Station,Energy Production (kWh),Water_Flow_m3_s,avgtempC,totalprecipMM,humidity,pressureMB,Month,WaterFlow_Diff_1d,WaterFlow_Diff_7d,WaterFlow_3day_avg,WaterFlow_7day_avg,Temp_Deviation,WaterFlow_Humidity,month_sin,month_cos,Normalized_Efficiency,Prev_Day_Efficiency,Prev_Week_Efficiency
2025-01-09,Amberd 3,427.4618944381727,19186.800076382187,1,0.0,53,1030,1,-266267.1666822431,-266134.91542036034,107046.61646793828,94424.79465400625,-12.545579974376663,1016900.4040482559,0.49999999999999994,0.8660254037844387,-0.5466670129195585,285453.9667586253,285321.7154967425
2025-01-09,Amberd 3,427.4618944381727,16728.07339449541,1,0.0,53,1030,1,-2458.7266818867756,-2252.4271792159307,107122.94674316765,94103.01934268969,-12.545579974376663,886587.8899082568,0.49999999999999994,0.8660254037844387,-0.5741800377351514,19186.800076382187,18980.500573711342
2025-01-09,Amberd 3,427.4618944381727,285520.67020873266,1,0.0,53,1030,1,268792.59681423724,268772.04635552166,107145.18122653676,132499.02596490708,-12.545579974376663,15132595.52106283,0.49999999999999994,0.8660254037844387,2.4335952635532183,16728.07339449541,16748.623853211007
2025-01-10,Amberd 3,438.1655851849464,18823.41012672346,1,0.0,54,1029,1,-266697.2600820092,-266564.70355717075,107024.0512433172,94418.35402816838,-12.545579974376663,1016464.1468430668,0.49999999999999994,0.8660254037844387,-0.5507333277224001,285520.67020873266,285388.1136838942
2025-01-10,Amberd 3,438.1655851849464,16686.97247706422,1,0.0,54,1029,1,-2136.4376496592376,-2029.5025863482042,107010.35093750681,94128.4250872615,-12.545579974376663,901096.5137614679,0.49999999999999994,0.8660254037844387,-0.5746399548823311,18823.41012672346,18716.475063412425
2025-01-10,Amberd 3,438.1655851849464,285587.1598070442,1,0.0,54,1029,1,268900.18732997996,269088.07723823685,107032.51413694398,132569.5789784382,-12.545579974376663,15421706.629580386,0.49999999999999994,0.8660254037844387,2.4343392787305866,16686.97247706422,16499.08256880734
2025-01-11,Amberd 3,-320.7430778786784,18165.712170960916,1,0.0,49,1025,1,-267421.4476360833,-267288.2545876644,106813.28148502314,94385.54260877185,-12.545579974376663,890119.8963770849,0.49999999999999994,0.8660254037844387,-0.5580929339410846,285587.1598070442,285453.9667586253
2025-01-11,Amberd 3,-320.7430778786784,16557.798165137614,1,0.0,49,1025,1,-1607.9140058233024,-2629.0019112445734,106770.2233810476,94009.97090716551,-12.545579974376663,811332.1100917431,0.49999999999999994,0.8660254037844387,-0.5760854087734674,18165.712170960916,19186.800076382187
2025-01-11,Amberd 3,-320.7430778786784,285651.36063205084,1,0.0,49,1025,1,269093.56246691325,268923.2872375554,106791.62365604982,132427.58336967343,-12.545579974376663,13996916.670970492,0.49999999999999994,0.8660254037844387,2.4350576826526664,16557.798165137614,16728.07339449541
2025-01-12,Amberd 3,-7.0092072305997135,18419.328073326906,1,0.0,49,1025,1,-267232.03255872393,-267101.34213540575,106876.16229017182,94270.24877890118,-12.545579974376663,902547.0755930184,0.49999999999999994,0.8660254037844387,-0.5552549850682681,285651.36063205084,285520.67020873266
2025-01-12,Amberd 3,-7.0092072305997135,16135.045871559632,1,0.0,49,1025,1,-2284.2822017672734,-2688.364255163826,106735.24485897915,93886.1967424492,-12.545579974376663,790617.247706422,0.49999999999999994,0.8660254037844387,-0.5808159851444589,18419.328073326906,18823.41012672346
2025-01-12,Amberd 3,-7.0092072305997135,285713.3243995464,1,0.0,49,1025,1,269578.2785279868,269026.3519224822,106755.89944814435,132318.53273137522,-12.545579974376663,13999952.895577775,0.49999999999999994,0.8660254037844387,2.4357510540165244,16135.045871559632,16686.97247706422
2025-01-13,Amberd 3,-136.86222227191683,18099.469211387703,1,0.0,51,1030,1,-267613.85518815875,-267487.6905956565,106649.27982749794,94106.0055034243,-12.545579974376663,923072.9297807729,0.49999999999999994,0.8660254037844387,-0.558834189243686,285713.3243995464,285587.1598070442
2025-01-13,Amberd 3,-136.86222227191683,15882.56880733945,1,0.0,51,1030,1,-2216.9004040482523,-2283.143363621466,106565.12080609122,93779.84216576409,-12.545579974376663,810011.009174312,0.49999999999999994,0.8660254037844387,-0.5836411904771343,18099.469211387703,18165.712170960916
