Date,Station,Energy Production (kWh),Water_Flow_m3_s,avgtempC,totalprecipMM,humidity,pressureMB,Month,Efficiency,WaterFlow_Diff_1d,WaterFlow_Diff_7d,WaterFlow_3day_avg,WaterFlow_7day_avg,Temp_Deviation,WaterFlow_Humidity,month_sin,month_cos,Normalized_Efficiency,Prev_Day_Efficiency,Prev_Week_Efficiency
2024-03-14,Amberd2,255.10854232669223,17109.610129765228,11,0.0,33,1018,3,0.014910248707706394,-238498.19196647155,-238398.12931348625,94843.66340255122,83562.82659153678,-2.6196678930098436,564617.1342822525,1.0,6.123233995736766e-17,-0.42872132225940357,0.0009819848840374244,0.0008624771568978799
2024-03-14,Amberd2,255.10854232669223,12051.37614678899,11,0.0,33,1018,3,0.021168415890384786,-5058.233982976237,-4637.118025689424,94922.9294575971,82900.38115929544,-2.6196678930098436,397695.4128440367,1.0,6.123233995736766e-17,-0.6086653166269534,0.014910248707706394,0.014384519436876934
2024-03-14,Amberd2,255.10854232669223,255658.2399508001,11,0.0,33,1018,3,0.0009978498732361857,243606.8638040111,244012.00141869002,94939.74207578487,117759.2385048226,-2.6196678930098436,8436721.918376403,1.0,6.123233995736766e-17,-0.02869164193412057,0.021168415890384786,0.020612317713943413
2024-03-15,Amberd2,253.80909153446555,17806.107533277795,11,2.32,40,1014,3,0.014254046880269723,-237852.1324175223,-237751.6932176495,95171.90787695571,83794.71090230125,-2.6196678930098436,712244.3013311118,1.0,6.123233995736766e-17,-0.4098532456335401,0.0009978498732361857,0.0009393411904893775
2024-03-15,Amberd2,253.80909153446555,12177.614678899085,11,2.32,40,1014,3,0.020842266587253452,-5628.49285437871,-4338.647798688995,95213.98738765909,83174.90407391709,-2.6196678930098436,487104.5871559634,1.0,6.123233995736766e-17,-0.5992873938817628,0.014254046880269723,0.01519732434872207
2024-03-15,Amberd2,253.80909153446555,255709.18517923192,11,2.32,40,1014,3,0.0009925693179795847,243531.57050033283,243895.60719758054,95230.9691304697,118017.13367357147,-2.6196678930098436,10228367.407169277,1.0,6.123233995736766e-17,-0.028539807670571113,0.020842266587253452,0.02124699208744269
2024-03-16,Amberd2,249.1511921444908,12485.851551555445,10,2.57,51,1013,3,0.01995468159426038,-243223.33362767647,-243121.95054468134,93457.55046989559,83285.4264529027,-3.6196678930098436,636778.4291293276,1.0,6.123233995736766e-17,-0.5737662493808721,0.0009925693179795847,0.0009819848840374244
2024-03-16,Amberd2,249.1511921444908,12606.238532110092,10,2.57,51,1013,3,0.01976411849655733,120.38698055464738,-4503.371597655136,93600.4250876326,82642.08765323767,-3.6196678930098436,642918.1651376147,1.0,6.123233995736766e-17,-0.5682868999197949,0.01995468159426038,0.014910248707706394
2024-03-16,Amberd2,249.1511921444908,255761.78419488468,10,2.57,51,1013,3,0.0009741533236828034,243155.5456627746,243710.40804809568,93617.95809285017,117457.86023153707,-3.6196678930098436,13043850.993939118,1.0,6.123233995736766e-17,-0.028010284013359612,0.01976411849655733,0.021168415890384786
2024-03-17,Amberd2,240.31196009524865,17561.00858285693,10,0.41,44,1017,3,0.013684405366662216,-238200.77561202773,-238097.23136794317,95309.67710328399,83443.97003611662,-3.6196678930098436,772684.377645705,1.0,6.123233995736766e-17,-0.3934740780076215,0.0009741533236828034,0.0009978498732361857
